Entity,Year,Renewables (% equivalent primary energy),Renewables per capita (kWh - equivalent),Renewables per capita (MWh - equivalent),lines calculations,population,Regions,Fossil fuels (TWh)
Germany,2023,24.394201,9282.546,9.3,93,84482267,1. Western,2378.376
Italy,2023,19.27818,5407.888,5.4,54,58761146,2. Southern,1333.068
France,2023,16.940176,6295.6973,6.3,63,68170228,1. Western,1155.9062
Spain,2023,24.918743,8247.912,8.2,82,48373336,2. Southern,1039.3298
Poland,2023,12.153621,3387.3687,3.4,34,36685849,3. Eastern,1004.4783
Netherlands,2023,17.788414,9637.402,9.6,96,17879488,1. Western,774.7982
Belgium,2023,12.525129,6881.5864,6.9,69,11822592,1. Western,479.56403
Czechia,2023,7.9845033,3220.8909,3.2,32,10873689,3. Eastern,313.76416
Romania,2023,21.853575,3894.0027,3.9,39,19056116,3. Eastern,249.10362
Greece,2023,21.644836,6387.5996,6.4,64,10361295,2. Southern,239.12506
Austria,2023,40.080193,17215.49,17.2,172,9132383,1. Western,230.57788
Hungary,2023,10.97823,2734.0393,2.7,27,9589872,3. Eastern,185.48692
Portugal,2023,36.04341,9266.482,9.3,93,10525347,2. Southern,168.49881
Sweden,2023,53.890182,30342.297,30.3,303,10536632,4. Northern,154.7773
Ireland,2023,22.302807,7972.4355,8.0,80,5262382,1. Western,140.45068
Bulgaria,2023,15.011163,4472.7305,4.5,45,6430370,3. Eastern,129.035
Finland,2023,35.936253,21524.63,21.5,215,5584264,4. Northern,127.427574
Slovakia,2023,11.760023,3787.2842,3.8,38,5426740,3. Eastern,118.9834
Denmark,2023,42.73486,14135.978,14.1,141,5946952,4. Northern,111.96655
Croatia,2023,31.566439,7966.17,8.0,80,3853200,3. Eastern,69.228905
Lithuania,2023,17.464674,4261.0073,4.3,43,2871897,3. Eastern,54.739067
Estonia,2023,15.521677,6513.9893,6.5,65,1366188,3. Eastern,46.896027
Slovenia,2023,24.549088,8388.416,8.4,84,2120937,3. Eastern,40.682026
Luxembourg,2023,11.749724,6737.5166,6.7,67,668606,1. Western,33.134293
Latvia,2023,31.915909,7015.9004,7.0,70,1881750,3. Eastern,27.391998
