Entity,Code,Year,Renewables per capita (kWh - equivalent)
Africa,,1965,127.91771
Africa,,1966,139.12254
Africa,,1967,141.5766
Africa,,1968,161.39375
Africa,,1969,183.53688
Africa,,1970,223.56758
Africa,,1971,206.47203
Africa,,1972,229.00676
Africa,,1973,235.90248
Africa,,1974,261.10275
Africa,,1975,268.4201
Africa,,1976,289.09085
Africa,,1977,308.83777
Africa,,1978,302.6684
Africa,,1979,314.55762
Africa,,1980,298.0381
Africa,,1981,300.8455
Africa,,1982,292.26404
Africa,,1983,256.08322
Africa,,1984,244.92314
Africa,,1985,264.69916
Africa,,1986,268.0142
Africa,,1987,250.02135
Africa,,1988,265.27042
Africa,,1989,270.88193
Africa,,1990,269.1465
Africa,,1991,277.6371
Africa,,1992,258.54077
Africa,,1993,247.48167
Africa,,1994,244.78401
Africa,,1995,248.2899
Africa,,1996,253.30066
Africa,,1997,253.66914
Africa,,1998,259.61603
Africa,,1999,268.28467
Africa,,2000,281.10306
Africa,,2001,293.2505
Africa,,2002,298.92673
Africa,,2003,283.07382
Africa,,2004,291.1984
Africa,,2005,286.73642
Africa,,2006,290.31552
Africa,,2007,289.55646
Africa,,2008,286.503
Africa,,2009,285.99698
Africa,,2010,300.92087
Africa,,2011,301.23102
Africa,,2012,294.43835
Africa,,2013,303.13077
Africa,,2014,317.21323
Africa,,2015,316.1801
Africa,,2016,311.66516
Africa,,2017,324.20157
Africa,,2018,339.4157
Africa,,2019,353.0985
Africa,,2020,368.0048
Africa,,2021,378.59207
Africa,,2022,379.27673
Africa,,2023,390.02872
Algeria,DZA,1965,95.53111
Algeria,DZA,1966,83.2235
Algeria,DZA,1967,94.0028
Algeria,DZA,1968,126.20633
Algeria,DZA,1969,79.1247
Algeria,DZA,1970,124.31607
Algeria,DZA,1971,69.15576
Algeria,DZA,1972,101.36669
Algeria,DZA,1973,150.38446
Algeria,DZA,1974,96.981804
Algeria,DZA,1975,61.67956
Algeria,DZA,1976,69.71108
Algeria,DZA,1977,46.42354
Algeria,DZA,1978,41.92492
Algeria,DZA,1979,47.365265
Algeria,DZA,1980,40.55343
Algeria,DZA,1981,55.92673
Algeria,DZA,1982,70.81954
Algeria,DZA,1983,33.59872
Algeria,DZA,1984,62.474915
Algeria,DZA,1985,86.30655
Algeria,DZA,1986,32.306145
Algeria,DZA,1987,62.55964
Algeria,DZA,1988,22.321026
Algeria,DZA,1989,26.849836
Algeria,DZA,1990,15.643562
Algeria,DZA,1991,33.15225
Algeria,DZA,1992,21.999186
Algeria,DZA,1993,38.159126
Algeria,DZA,1994,17.570253
Algeria,DZA,1995,20.039974
Algeria,DZA,1996,13.772591
Algeria,DZA,1997,7.5238814
Algeria,DZA,1998,21.245111
Algeria,DZA,1999,19.78077
Algeria,DZA,2000,5.1886096
Algeria,DZA,2001,6.4968305
Algeria,DZA,2002,5.2608757
Algeria,DZA,2003,23.974781
Algeria,DZA,2004,22.248251
Algeria,DZA,2005,48.24676
Algeria,DZA,2006,18.518274
Algeria,DZA,2007,18.8043
Algeria,DZA,2008,23.004215
Algeria,DZA,2009,27.13679
Algeria,DZA,2010,14.096054
Algeria,DZA,2011,29.90281
Algeria,DZA,2012,30.592276
Algeria,DZA,2013,9.151515
Algeria,DZA,2014,17.753038
Algeria,DZA,2015,15.118675
Algeria,DZA,2016,22.301409
Algeria,DZA,2017,37.457855
Algeria,DZA,2018,46.06531
Algeria,DZA,2019,47.960022
Algeria,DZA,2020,44.86581
Algeria,DZA,2021,40.501717
Algeria,DZA,2022,39.539673
Algeria,DZA,2023,41.794765
Argentina,ARG,1965,164.26549
Argentina,ARG,1966,163.79047
Argentina,ARG,1967,165.11125
Argentina,ARG,1968,191.60696
Argentina,ARG,1969,169.22238
Argentina,ARG,1970,200.6452
Argentina,ARG,1971,196.51488
Argentina,ARG,1972,190.3889
Argentina,ARG,1973,361.89407
Argentina,ARG,1974,587.97815
Argentina,ARG,1975,601.5391
Argentina,ARG,1976,571.45184
Argentina,ARG,1977,645.98193
Argentina,ARG,1978,851.351
Argentina,ARG,1979,1153.4015
Argentina,ARG,1980,1608.8427
Argentina,ARG,1981,1534.8994
Argentina,ARG,1982,1811.2704
Argentina,ARG,1983,1870.7758
Argentina,ARG,1984,1982.6127
Argentina,ARG,1985,2029.0524
Argentina,ARG,1986,2035.2977
Argentina,ARG,1987,2086.509
Argentina,ARG,1988,1436.1788
Argentina,ARG,1989,1222.8326
Argentina,ARG,1990,1617.8336
Argentina,ARG,1991,1430.0657
Argentina,ARG,1992,1700.5907
Argentina,ARG,1993,2074.4868
Argentina,ARG,1994,2348.6665
Argentina,ARG,1995,2253.4985
Argentina,ARG,1996,1898.5623
Argentina,ARG,1997,2322.6155
Argentina,ARG,1998,2181.549
Argentina,ARG,1999,1751.8158
Argentina,ARG,2000,2315.3508
Argentina,ARG,2001,2902.0085
Argentina,ARG,2002,2806.8796
Argentina,ARG,2003,2640.2305
Argentina,ARG,2004,2347.1194
Argentina,ARG,2005,2587.7883
Argentina,ARG,2006,2829.6863
Argentina,ARG,2007,2303.9253
Argentina,ARG,2008,2275.4507
Argentina,ARG,2009,2472.1309
Argentina,ARG,2010,2505.6836
Argentina,ARG,2011,2389.6646
Argentina,ARG,2012,2289.2427
Argentina,ARG,2013,2532.9878
